YEL050C	RML2	Verified	GO:0005762	mitochondrial large ribosomal subunit	cellular_component	part of	manually curated
YEL054C	RPL12A	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YEL054C	RPL12A	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YER050C	RSM18	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YER050C	RSM18	Verified	GO:0005763	mitochondrial small ribosomal subunit	cellular_component	part of	manually curated
YER074W	RPS24A	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YER074W	RPS24A	Verified	GO:0022627	cytosolic small ribosomal subunit	cellular_component	part of	manually curated
YER102W	RPS8B	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YER102W	RPS8B	Verified	GO:0022627	cytosolic small ribosomal subunit	cellular_component	part of	manually curated
YER117W	RPL23B	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YER117W	RPL23B	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YER131W	RPS26B	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YER131W	RPS26B	Verified	GO:0022627	cytosolic small ribosomal subunit	cellular_component	part of	manually curated
YER165W	PAB1	Verified	GO:0005840	ribosome	cellular_component	part of	manually curated
YHL001W	RPL14B	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YHL001W	RPL14B	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YHL004W	MRP4	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YHL004W	MRP4	Verified	GO:0005763	mitochondrial small ribosomal subunit	cellular_component	part of	manually curated
YHL015W	RPS20	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YHL015W	RPS20	Verified	GO:0022627	cytosolic small ribosomal subunit	cellular_component	part of	manually curated
YHL033C	RPL8A	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YHL033C	RPL8A	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YHR010W	RPL27A	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YHR010W	RPL27A	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YHR021C	RPS27B	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YHR021C	RPS27B	Verified	GO:0022627	cytosolic small ribosomal subunit	cellular_component	part of	manually curated
YHR059W	FYV4	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YHR059W	FYV4	Verified	GO:0005763	mitochondrial small ribosomal subunit	cellular_component	part of	manually curated
YHR075C	PPE1	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YHR075C	PPE1	Verified	GO:0005763	mitochondrial small ribosomal subunit	cellular_component	part of	manually curated
YHR141C	RPL42B	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YHR141C	RPL42B	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YHR147C	MRPL6	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YHR147C	MRPL6	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YHR147C	MRPL6	Verified	GO:0005762	mitochondrial large ribosomal subunit	cellular_component	part of	manually curated
YHR147C	MRPL6	Verified	GO:0005762	mitochondrial large ribosomal subunit	cellular_component	part of	manually curated
YHR203C	RPS4B	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YHR203C	RPS4B	Verified	GO:0022627	cytosolic small ribosomal subunit	cellular_component	part of	manually curated
YIL018W	RPL2B	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YIL018W	RPL2B	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YIL052C	RPL34B	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YIL052C	RPL34B	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YIL069C	RPS24B	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YIL069C	RPS24B	Verified	GO:0022627	cytosolic small ribosomal subunit	cellular_component	part of	manually curated
YIL093C	RSM25	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YIL093C	RSM25	Verified	GO:0005763	mitochondrial small ribosomal subunit	cellular_component	part of	manually curated
YIL133C	RPL16A	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YIL133C	RPL16A	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YIL148W	RPL40A	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YIL148W	RPL40A	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YKL003C	MRP17	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YKL003C	MRP17	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YKL003C	MRP17	Verified	GO:0005763	mitochondrial small ribosomal subunit	cellular_component	part of	manually curated
YKL003C	MRP17	Verified	GO:0005763	mitochondrial small ribosomal subunit	cellular_component	part of	manually curated
YKL006W	RPL14A	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YKL006W	RPL14A	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YKL081W	TEF4	Verified	GO:0005840	ribosome	cellular_component	part of	manually curated
YKL138C	MRPL31	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YKL138C	MRPL31	Verified	GO:0005762	mitochondrial large ribosomal subunit	cellular_component	part of	manually curated
YKL155C	RSM22	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YKL155C	RSM22	Verified	GO:0005763	mitochondrial small ribosomal subunit	cellular_component	part of	manually curated
YKL156W	RPS27A	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YKL156W	RPS27A	Verified	GO:0022627	cytosolic small ribosomal subunit	cellular_component	part of	manually curated
YKL167C	MRP49	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YKL167C	MRP49	Verified	GO:0005762	mitochondrial large ribosomal subunit	cellular_component	part of	manually curated
YKL170W	MRPL38	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YKL170W	MRPL38	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YKL170W	MRPL38	Verified	GO:0005762	mitochondrial large ribosomal subunit	cellular_component	part of	manually curated
YKL170W	MRPL38	Verified	GO:0005762	mitochondrial large ribosomal subunit	cellular_component	part of	manually curated
YKL180W	RPL17A	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YKL180W	RPL17A	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YKR006C	MRPL13	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
