S000002763	YDR355C	S. cerevisiae	""	""
S000002768	YDR360W	S. cerevisiae	OPI7	OverProducer of Inositol
S000002804	YDR396W	S. cerevisiae	""	""
S000002809	YDR401W	S. cerevisiae	""	""
S000002821	YDR413C	S. cerevisiae	""	""
S000002825	YDR417C	S. cerevisiae	""	""
S000002834	YDR426C	S. cerevisiae	""	""
S000002839	YDR431W	S. cerevisiae	""	""
S000002841	YDR433W	S. cerevisiae	""	""
S000002850	YDR442W	S. cerevisiae	""	""
S000002853	YDR445C	S. cerevisiae	""	""
S000002863	YDR455C	S. cerevisiae	""	""
S000002875	YDR467C	S. cerevisiae	""	""
S000002899	YDR491C	S. cerevisiae	""	""
S000002917	YDR509W	S. cerevisiae	""	""
S000002929	YDR521W	S. cerevisiae	""	""
S000002934	YDR526C	S. cerevisiae	""	""
S000002943	YDR535C	S. cerevisiae	""	""
S000002945	YDR537C	S. cerevisiae	""	""
S000002951	YDR543C	S. cerevisiae	""	""
S000002952	YDR544C	S. cerevisiae	""	""
S000002956	YEL075W-A	S. cerevisiae	""	""
S000002959	YER066C-A	S. cerevisiae	""	""
S000002961	YER119C-A	S. cerevisiae	""	""
S000002964	YFL012W-A	S. cerevisiae	""	""
S000002992	YGL024W	S. cerevisiae	""	""
S000003009	YGL041C	S. cerevisiae	""	""
S000003010	YGL042C	S. cerevisiae	""	""
S000003020	YGL052W	S. cerevisiae	""	""
S000003037	YGL069C	S. cerevisiae	""	""
S000003040	YGL072C	S. cerevisiae	""	""
S000003042	YGL074C	S. cerevisiae	""	""
S000003070	YGL102C	S. cerevisiae	""	""
S000003077	YGL109W	S. cerevisiae	""	""
S000003100	YGL132W	S. cerevisiae	""	""
S000003120	YGL152C	S. cerevisiae	""	""
S000003133	YGL165C	S. cerevisiae	""	""
S000003145	YGL177W	S. cerevisiae	""	""
S000003150	YGL182C	S. cerevisiae	""	""
S000003156	YGL188C	S. cerevisiae	""	""
S000003167	YGL199C	S. cerevisiae	""	""
S000003182	YGL214W	S. cerevisiae	""	""
S000003185	YGL217C	S. cerevisiae	""	""
S000003186	YGL218W	S. cerevisiae	""	""
S000003208	YGL239C	S. cerevisiae	""	""
S000003243	YGR011W	S. cerevisiae	""	""
S000003254	YGR022C	S. cerevisiae	""	""
S000003283	YGR051C	S. cerevisiae	""	""
S000003296	YGR064W	S. cerevisiae	""	""
S000003301	YGR069W	S. cerevisiae	""	""
S000003305	YGR073C	S. cerevisiae	""	""
S000003339	YGR107W	S. cerevisiae	""	""
S000003346	YGR114C	S. cerevisiae	""	""
S000003347	YGR115C	S. cerevisiae	""	""
S000003369	YGR137W	S. cerevisiae	""	""
S000003371	YGR139W	S. cerevisiae	""	""
S000003383	YGR151C	S. cerevisiae	""	""
S000003392	YGR160W	S. cerevisiae	""	""
S000003408	YGR176W	S. cerevisiae	""	""
S000003414	YGR182C	S. cerevisiae	""	""
S000003422	YGR190C	S. cerevisiae	""	""
S000003451	YGR219W	S. cerevisiae	""	""
S000003458	YGR226C	S. cerevisiae	""	""
S000003460	YGR228W	S. cerevisiae	""	""
S000003474	YGR242W	S. cerevisiae	""	""
S000003491	YGR259C	S. cerevisiae	""	""
S000003497	YGR265W	S. cerevisiae	""	""
S000003501	YGR269W	S. cerevisiae	""	""
S000003522	YGR290W	S. cerevisiae	""	""
S000003523	YGR291C	S. cerevisiae	""	""
S000003525	YGR293C	S. cerevisiae	""	""
S000003532	YHR049C-A	S. cerevisiae	""	""
S000003535	YHR214W-A	S. cerevisiae	""	""
S000003546	YJL009W	S. cerevisiae	""	""
S000003552	YJL015C	S. cerevisiae	""	""
S000003559	YJL022W	S. cerevisiae	""	""
S000003569	YJL032W	S. cerevisiae	""	""
S000003600	YJL064W	S. cerevisiae	""	""
S000003603	YJL067W	S. cerevisiae	""	""
S000003611	YJL075C	S. cerevisiae	APQ13	""
S000003622	YJL086C	S. cerevisiae	""	""
S000003655	YJL119C	S. cerevisiae	""	""
S000003656	YJL120W	S. cerevisiae	""	""
S000003671	YJL135W	S. cerevisiae	""	""
S000003678	YJL142C	S. cerevisiae	IRC9	Increased Recombination Centers
S000003686	YJL150W	S. cerevisiae	""	""
S000003688	YJL152W	S. cerevisiae	""	""
S000003705	YJL169W	S. cerevisiae	""	""
S000003711	YJL175W	S. cerevisiae	""	""
S000003718	YJL182C	S. cerevisiae	""	""
S000003724	YJL188C	S. cerevisiae	BUD19	BUD site selection
S000003731	YJL195C	S. cerevisiae	""	""
S000003738	YJL202C	S. cerevisiae	""	""
S000003747	YJL211C	S. cerevisiae	""	""
S000003751	YJL215C	S. cerevisiae	""	""
S000003756	YJL220W	S. cerevisiae	""	""
S000003779	YJR018W	S. cerevisiae	""	""
S000003781	YJR020W	S. cerevisiae	""	""
S000003784	YJR023C	S. cerevisiae	""	""
S000003798	YJR037W	S. cerevisiae	""	""
S000003799	YJR038C	S. cerevisiae	""	""
S000003832	YJR071W	S. cerevisiae	""	""
S000003847	YJR087W	S. cerevisiae	""	""
S000003875	YJR114W	S. cerevisiae	""	""
S000003918	YJR157W	S. cerevisiae	""	""
S000003923	YJR162C	S. cerevisiae	""	""
S000003943	YLL020C	S. cerevisiae	""	""
S000003960	YLL037W	S. cerevisiae	""	""
S000003967	YLL044W	S. cerevisiae	""	""
S000003970	YLL047W	S. cerevisiae	""	""
S000003982	YLL059C	S. cerevisiae	""	""
S000003988	YLL065W	S. cerevisiae	""	""
S000004031	YLR041W	S. cerevisiae	""	""
S000004052	YLR062C	S. cerevisiae	BUD28	BUD site selection
S000004066	YLR076C	S. cerevisiae	""	""
S000004091	YLR101C	S. cerevisiae	""	""
S000004113	YLR123C	S. cerevisiae	""	""
S000004114	YLR124W	S. cerevisiae	""	""
S000004130	YLR140W	S. cerevisiae	""	""
S000004159	YLR169W	S. cerevisiae	""	""
S000004161	YLR171W	S. cerevisiae	""	""
S000004174	YLR184W	S. cerevisiae	""	""
S000004188	YLR198C	S. cerevisiae	""	""
S000004192	YLR202C	S. cerevisiae	""	""
S000004207	YLR217W	S. cerevisiae	""	""
S000004220	YLR230W	S. cerevisiae	""	""
S000004222	YLR232W	S. cerevisiae	""	""
S000004225	YLR235C	S. cerevisiae	""	""
S000004242	YLR252W	S. cerevisiae	""	""
S000004259	YLR269C	S. cerevisiae	""	""
S000004269	YLR279W	S. cerevisiae	""	""
S000004270	YLR280C	S. cerevisiae	""	""
S000004272	YLR282C	S. cerevisiae	""	""
S000004285	YLR294C	S. cerevisiae	""	""
S000004302	YLR311C	S. cerevisiae	""	""
S000004309	YLR317W	S. cerevisiae	""	""
S000004314	YLR322W	S. cerevisiae	VPS65	Vacuolar Protein Sorting
S000004326	YLR334C	S. cerevisiae	""	""
S000004330	YLR338W	S. cerevisiae	OPI9	OverProducer of Inositol
S000004331	YLR339C	S. cerevisiae	""	""
S000004341	YLR349W	S. cerevisiae	""	""
S000004358	YLR366W	S. cerevisiae	""	""
S000004366	YLR374C	S. cerevisiae	""	""
S000004371	YLR379W	S. cerevisiae	""	""
S000004392	YLR400W	S. cerevisiae	""	""
S000004394	YLR402W	S. cerevisiae	""	""
S000004408	YLR416C	S. cerevisiae	""	""
S000004420	YLR428C	S. cerevisiae	""	""
S000004426	YLR434C	S. cerevisiae	""	""
S000004436	YLR444C	S. cerevisiae	""	""
S000004450	YLR458W	S. cerevisiae	""	""
S000004455	YLR463C	S. cerevisiae	""	""
S000004457	YLR465C	S. cerevisiae	BSC3	Bypass of Stop Codon
S000004469	YML009C-A	S. cerevisiae	""	""
S000004471	YML009W-B	S. cerevisiae	""	""
S000004474	YML012C-A	S. cerevisiae	""	""
S000004499	YML034C-A	S. cerevisiae	""	""
S000004512	YML047W-A	S. cerevisiae	""	""
S000004522	YML057C-A	S. cerevisiae	""	""
S000004549	YML084W	S. cerevisiae	""	""
S000004554	YML089C	S. cerevisiae	""	""
S000004555	YML090W	S. cerevisiae	""	""
S000004561	YML094C-A	S. cerevisiae	""	""
S000004567	YML099W-A	S. cerevisiae	""	""
S000004569	YML101C-A	S. cerevisiae	""	""
S000004586	YML116W-A	S. cerevisiae	""	""
S000004634	YMR031W-A	S. cerevisiae	""	""
S000004655	YMR052C-A	S. cerevisiae	""	""
S000004661	YMR057C	S. cerevisiae	""	""
S000004679	YMR075C-A	S. cerevisiae	""	""
S000004691	YMR086C-A	S. cerevisiae	""	""
S000004726	YMR119W-A	S. cerevisiae	""	""
S000004743	YMR135W-A	S. cerevisiae	""	""
S000004759	YMR151W	S. cerevisiae	YIM2	""
S000004761	YMR153C-A	S. cerevisiae	""	""
S000004768	YMR158W-B	S. cerevisiae	""	""
S000004782	YMR172C-A	S. cerevisiae	""	""
S000004785	YMR173W-A	S. cerevisiae	""	""
S000004805	YMR193C-A	S. cerevisiae	""	""
S000004859	YMR245W	S. cerevisiae	""	""
S000004904	YMR290W-A	S. cerevisiae	""	""
S000004909	YMR294W-A	S. cerevisiae	""	""
S000004919	YMR304C-A	S. cerevisiae	""	""
S000004922	YMR306C-A	S. cerevisiae	""	""
S000004934	YMR316C-B	S. cerevisiae	""	""
S000004943	YMR324C	S. cerevisiae	""	""
S000004945	YMR326C	S. cerevisiae	""	""
S000004958	YNL013C	S. cerevisiae	""	""
S000004962	YNL017C	S. cerevisiae	""	""
S000004973	YNL028W	S. cerevisiae	""	""
S000004988	YNL043C	S. cerevisiae	""	""
S000005002	YNL057W	S. cerevisiae	""	""
S000005033	YNL089C	S. cerevisiae	""	""
S000005049	YNL105W	S. cerevisiae	RRT16	Regulator of rDNA Transcription
S000005053	YNL109W	S. cerevisiae	""	""
S000005058	YNL114C	S. cerevisiae	""	""
S000005064	YNL120C	S. cerevisiae	""	""
S000005094	YNL150W	S. cerevisiae	""	""
S000005114	YNL170W	S. cerevisiae	""	""
S000005115	YNL171C	S. cerevisiae	""	""
S000005118	YNL174W	S. cerevisiae	""	""
S000005123	YNL179C	S. cerevisiae	""	""
S000005142	YNL198C	S. cerevisiae	""	""
S000005147	YNL203C	S. cerevisiae	""	""
S000005149	YNL205C	S. cerevisiae	""	""
S000005170	YNL226W	S. cerevisiae	""	""
S000005172	YNL228W	S. cerevisiae	""	""
S000005179	YNL235C	S. cerevisiae	""	""
S000005210	YNL266W	S. cerevisiae	""	""
S000005220	YNL276C	S. cerevisiae	""	""
S000005229	YNL285W	S. cerevisiae	""	""
S000005240	YNL296W	S. cerevisiae	""	""
