S000000071	YAR018C	KIN3	protein KINase	FUN52|NPK1|serine/threonine protein kinase KIN3	Nonessential serine/threonine protein kinase	S. cerevisiae	ORF
S000000072	YAR019C	CDC15	Cell Division Cycle	LYT1|RLT1|serine/threonine protein kinase CDC15	Hippo-like kinase of the Mitotic Exit Network	S. cerevisiae	ORF
S000000073	YAR020C	PAU7	seriPAUperin family	seripauperin PAU7	Member of the seripauperin multigene family	S. cerevisiae	ORF
S000000074	YAR023C	""	""	DUP240 family protein	Putative integral membrane protein	S. cerevisiae	ORF
S000000075	YAR027W	UIP3	Ulp1 Interacting Protein	DUP240 family protein UIP3	Putative integral membrane protein of unknown function	S. cerevisiae	ORF
S000000076	YAR028W	""	""	DUP240 family protein	Putative integral membrane protein	S. cerevisiae	ORF
S000000077	YAR029W	""	""	DUP240 family protein	Member of DUP240 gene family but contains no transmembrane domains	S. cerevisiae	ORF
S000000078	YAR031W	PRM9	Pheromone-Regulated Membrane protein	pheromone-regulated DUP240 family protein PRM9	Pheromone-regulated protein	S. cerevisiae	ORF
S000000079	YAR033W	MST28	Multicopy suppressor of Sec Twenty one	DUP240 family protein MST28	Putative integral membrane protein, involved in vesicle formation	S. cerevisiae	ORF
S000000080	YAR035W	YAT1	""	carnitine O-acetyltransferase YAT1	Outer mitochondrial carnitine acetyltransferase	S. cerevisiae	ORF
S000000081	YAR042W	SWH1	""	OSH1|oxysterol-binding protein related protein SWH1|YAR044W	Protein similar to mammalian oxysterol-binding protein	S. cerevisiae	ORF
S000000082	YAR044W	""	""	""	Merged open reading frame	S. cerevisiae	ORF
S000000084	YAR050W	FLO1	FLOcculation	FLO2|FLO4|flocculin FLO1	Lectin-like protein involved in flocculation	S. cerevisiae	ORF
S000000089	YAR064W	""	""	""	Pseudogenic fragment with similarity to flocculins	S. cerevisiae	ORF
S000000091	YAR068W	""	""	""	Fungal-specific protein of unknown function	S. cerevisiae	ORF
S000000094	YAR071W	PHO11	PHOsphate metabolism	acid phosphatase PHO11	One of three repressible acid phosphatases	S. cerevisiae	ORF
S000000095	YAR073W	IMD1	IMP Dehydrogenase	IMP dehydrogenase	Nonfunctional protein with homology to IMP dehydrogenase	S. cerevisiae	ORF
S000000097	YBL001C	ECM15	ExtraCellular Mutant	""	Non-essential protein of unknown function	S. cerevisiae	ORF
